ID,Ime ,Za ,Debelina,Dolzina,Glava,Cena,Навој (чекор)
1,Хол Штраф,Дрво,4,16,Крстач(Фрез),0,
2,Хол Штраф,Дрво,4,18,Крстач(Фрез),0,
3,Хол Штраф,Дрво,4,20,Крстач(Фрез),0,
4,Хол Штраф,Дрво,4,25,Крстач(Фрез),0,
5,Хол Штраф,Дрво,4,30,Крстач(Фрез),0,
6,Хол Штраф,Дрво,4,35,Крстач(Фрез),0,
7,Хол Штраф,Дрво,4,40,Крстач(Фрез),0,
8,Хол Штраф,Дрво,4,45,Крстач(Фрез),0,
9,Хол Штраф,Дрво,4,50,Крстач(Фрез),0,
10,Хол Штраф,Дрво,4,55,Крстач(Фрез),0,
11,Хол Штраф,Дрво,4,60,Крстач(Фрез),0,
12,Хол Штраф,Дрво,4,65,Крстач(Фрез),0,
13,Хол Штраф,Дрво,4,70,Крстач(Фрез),0,
14,Хол Штраф,Дрво,5,30,Крстач(Фрез),0,
15,Хол Штраф,Дрво,5,35,Крстач(Фрез),0,
16,Хол Штраф,Дрво,5,40,Крстач(Фрез),0,
17,Хол Штраф,Дрво,5,45,Крстач(Фрез),0,
18,Хол Штраф,Дрво,5,50,Крстач(Фрез),0,
19,Хол Штраф,Дрво,5,55,Крстач(Фрез),0,
20,Хол Штраф,Дрво,5,60,Крстач(Фрез),0,
21,Хол Штраф,Дрво,5,65,Крстач(Фрез),0,
22,Хол Штраф,Дрво,5,70,Крстач(Фрез),0,
23,Хол Штраф,Дрво,5,75,Крстач(Фрез),0,
24,Хол Штраф,Дрво,5,80,Крстач(Фрез),0,
25,Хол Штраф,Дрво,5,85,Крстач(Фрез),0,
26,Хол Штраф,Дрво,5,90,Крстач(Фрез),0,
27,Хол Штраф,Дрво,5,100,Крстач(Фрез),0,
28,Хол Штраф,Дрво,5,120,Крстач(Фрез),0,
29,Хол Штраф,Дрво,6,40,Крстач(Фрез),0,
30,Хол Штраф,Дрво,6,50,Крстач(Фрез),0,
31,Хол Штраф,Дрво,6,60,Крстач(Фрез),0,
32,Хол Штраф,Дрво,6,70,Крстач(Фрез),0,
33,Хол Штраф,Дрво,6,80,Крстач(Фрез),0,
34,Хол Штраф,Дрво,6,90,Крстач(Фрез),0,
35,Хол Штраф,Дрво,6,100,Крстач(Фрез),0,
36,Хол Штраф,Дрво,6,110,Крстач(Фрез),0,
37,Хол Штраф,Дрво,6,120,Крстач(Фрез),0,
38,Хол Штраф,Дрво,6,130,Крстач(Фрез),0,
39,Хол Штраф,Дрво,6,140,Крстач(Фрез),0,
40,Хол Штраф,Дрво,6,150,Крстач(Фрез),0,
41,Саморезен Штраф (со бургија),Метал,3.9,13,Крстач(Фрез),0,
42,Саморезен Штраф (со бургија),Метал,3.9,16,Крстач(Фрез),0,
43,Саморезен Штраф (со бургија),Метал,3.9,19,Крстач(Фрез),0,
44,Саморезен Штраф (со бургија),Метал,3.9,25,Крстач(Фрез),0,
