ID,Ime,Debelina,Dolzina,Cena,Slika
1,Поп нитни (обични),4,8,0,pop_nitni_obicni.jpg
2,Поп нитни (обични),4,10,0,pop_nitni_obicni.jpg
3,Поп нитни (обични),4,12,0,pop_nitni_obicni.jpg
4,Поп нитни (обични),4,14,0,pop_nitni_obicni.jpg
5,Поп нитни (обични),4,16,0,pop_nitni_obicni.jpg
6,Поп нитни (обични),4.8,10,0,pop_nitni_obicni.jpg
7,Поп нитни (обични),4.8,12,0,pop_nitni_obicni.jpg
8,Поп нитни (обични),4.8,14,0,pop_nitni_obicni.jpg
9,Поп нитни (обични),4.8,16,0,pop_nitni_obicni.jpg
10,Поп нитни (обични),4.8,20,0,pop_nitni_obicni.jpg
11,Поп нитни (обични),4.8,22,0,pop_nitni_obicni.jpg
12,Поп нитни (обични),5,10,0,pop_nitni_obicni.jpg
13,Поп нитни (обични),5,12,0,pop_nitni_obicni.jpg
14,Поп нитни (обични),5,14,0,pop_nitni_obicni.jpg
15,Поп нитни (обични),5,16,0,pop_nitni_obicni.jpg
16,Поп нитни (обични),5,18,0,pop_nitni_obicni.jpg
17,Иноскни поп нитни,4,8,0,inoksni_pop_nitni.jpg
18,Иноскни поп нитни,4,10,0,inoksni_pop_nitni.jpg
19,Иноскни поп нитни,4,12,0,inoksni_pop_nitni.jpg
20,Иноскни поп нитни,4,14,0,inoksni_pop_nitni.jpg
21,Иноскни поп нитни,4,16,0,inoksni_pop_nitni.jpg
22,Иноскни поп нитни,4.8,10,0,inoksni_pop_nitni.jpg
23,Иноскни поп нитни,4.8,12,0,inoksni_pop_nitni.jpg
24,Иноскни поп нитни,4.8,14,0,inoksni_pop_nitni.jpg
25,Иноскни поп нитни,4.8,16,0,inoksni_pop_nitni.jpg
26,Иноскни поп нитни,4.8,20,0,inoksni_pop_nitni.jpg
27,Иноскни поп нитни,4.8,22,0,inoksni_pop_nitni.jpg
28,Иноскни поп нитни,5,10,0,inoksni_pop_nitni.jpg
29,Иноскни поп нитни,5,12,0,inoksni_pop_nitni.jpg
30,Иноскни поп нитни,5,14,0,inoksni_pop_nitni.jpg
31,Иноскни поп нитни,5,16,0,inoksni_pop_nitni.jpg
32,Иноскни поп нитни,5,18,0,inoksni_pop_nitni.jpg
